Sr No, Blood Bank Name, State, District, City, Address,Pincode, Contact No, Mobile, Helpline, Fax, Email, Website, Nodal Officer , Contact Nodal Officer, Mobile Nodal Officer, Email Nodal Officer, Qualification Nodal Officer, Category, Blood Component Available, Apheresis, Service Time, License #, Date License Obtained, Date of Renewal, Latitude, Longitude
1273,Pravara Medical Trust Blood Bank - Pravara Rural Hospital and Medical Dental College Loni (BK),Maharashtra,AHMEDNAGAR,Ahmednagar,"Pravara Rural Hospital & Medical Dental College Loni (BK) TQ. Rahata, Ahmednagar ",413736,"02422 271201, 02422 271528, 02422 2733413 ",9823206964,,02422 273413,,http://www.pravara.com,Dr. Pramod Pargaonkar,02422 271201                      ,9823206964,bloodbank@pmtpims.org,MD (Pathalogist),Charity,YES,,24 Hours,NKD/6,1/1/2008,31-12-2012 (Applied for renewal & it is in process),19.578952,74.456127
1274,Jondhale&#39;s Nitya Seva Blood Bank,Maharashtra,AHMEDNAGAR,Ahmednagar,"R.C.Complex, Mamlatdar Kacheri Road, Shrirampur,                  Ahmednagar
",413709,02422 225000,8888008686,,,jnbb.orj@gmail.com,,Dr. Om Rajaram Jondhale,02422 222797,8888008686,"dr.om.jondhale@gmail.com, jnbb.orj@gmail.com",MBBS,Charity,YES,,24x7,NKD28,13-12-1978,3/6/2019,19.6227,74.660399
1275,Shri Sainath Blood Bank,Maharashtra,AHMEDNAGAR,Ahmednagar,"Opposite to Bus Stand,  Shri Saibaba Sansthan, Shirdi Tal - Rahata
",423109,02423 258525 ,9822596036,,02423 258676,,,Dr. Maithilee Yashodhan Pitambare ,02423 258525 ,9822596036,"drpatilsr@rediffmail.com,",MBBS,Charity,YES,YES,24 Hours,NKD21,6/9/2000,31-12-2016,19.763137,74.47058
1276,"Padmashri Dr. Vithalrao Vikhe Patil Foundation, Ahmednagar Medical College Hospital Blood Bank",Maharashtra,AHMEDNAGAR,Ahmednagar,"Opposite to Government Milk Dairy, Vadgaon Gupta  M.I.D.C., Ahmednagar ",414111,0241 2778042 (Exte-449),9881573633,,,,http://www.bdvvfsmc.com,Dr. Sadhana Khaparde,0241 2778042,9881573633,"sadhanahk36@gmail.com, bloodbank@vims.edu.in",MD (Pathalogist),Charity,YES,,24 Hours,NKD/44,3/6/2011,2/6/2016,19.181403,74.689625
1277,Shrirampur Blood Bank,Maharashtra,AHMEDNAGAR,Ahmednagar,Shrirampur,413709,"02422 224293, 02422 210600        ","09850547747, 09623016083 ",,,,,,,,,,Private,,,,,,,19.619247,74.663502
1278,Anand Rushiji Blood Bank,Maharashtra,AHMEDNAGAR,Ahmednagar,"Survey No.16/1, Plot No.2 Behind Anadrushiji Hospital Burudgaon Road,
",414001,"0241 2320472, 0241 2320473, 0241 2320474",9049673565,,"0241 2359085, 0241 2353055",,,Dr. Mukund Tandale,"0241 2320472, 0241 2320473, 0241 2320474",9049673565,ar.bloodbank@gmail.com,MD (Pathalogist),Charity,YES,,24 Hours,NKD/42,23-02-2011,22-02-2016,19.080688,74.732289
1279,"Jeevanraj Charitable Foundation,s Ahmednagar Blood Bank",Maharashtra,AHMEDNAGAR,Ahmednagar,"F.P. No. - 17, 2nd Floor, Ahmednagar Zillha Krishi Audyogik Sarva Seva Sahakari Sanstha Maryadit, Market Yard, Ahmednagar
",414001,0241 2450099,9225570262,,,,,Dr. Dharmesh Gandhi,0241 2450099,9225570262,"nagarbloodbank@rediffmail.com, nagar_bloodbnk@rediffmail.com","MBBS, MD (Patholagy)",Charity,YES,,24 Hours,NKD/45,4/6/2011,3/6/2016,19.082959,74.760389
1280,Nandkishor Education Society - Arpan Blood Bank,Maharashtra,AHMEDNAGAR,Ahmednagar,"2nd  Floor, Sahakar Kranti Building, Market Yard, Nagar - Pune Road 
",414001,"0241 2451700, 0241 2451800",9822324340,,,"nandkishor@arpanbloodbank.org,",,Dr. Narendra Patil,"0241 2451700, 0241 2451800",9822324340,nandkishor@arpanbloodbank.org,"MBBS, MD (Micro)",Charity,YES,YES,24 Hours,NKD/46,23-08-2011,22-08-2016,20.004874,73.787165
1281,"Poonam Janjagruti Sanstha Sanchit, Ashtavinayak Blood Bank",Maharashtra,AHMEDNAGAR,Ahmednagar,"Ashtavinayak Blood Bank, Ahmednagar  1st Floor, Sai Palace Opposite  to Akashwani Kendra, Near Professsor Coloney Chowk, Ahmednagar
",414003,0241 2421334 ,,,,ashtavinayakbloodbank@gmail.com,,Dr. Patankar Shailendra Ashok,0241 2421334 ,9822307180,"drsapatankar@gmail.com, aashtavinayakbloodbank@gmail.com",MBBS,Charity,YES,YES,24 Hours,NKD/49,31-03-2012,30-03-2017,19.117005,74.735872
1282,Ahmednagar Municipal Council Blood Bank,Maharashtra,AHMEDNAGAR,Ahmednagar,Ahmednagar,,,,,,,,,,,,,Government,,,,,,,19.0952075,74.7495916
1283,Civil Surgeon General Hospital Blood Bank,Maharashtra,AKOLA,Akola,"District General Hospital Compound, Z.P. Road, Akola
",444001,0724 2434401,9767111950,,0724 2437078,bloodbankgmcakola@gmail.com,,Dr. Smita Chim,0724 2434401,9767111950,"csnrhmakola@gmail.com, bloodbankgmcakola@gmail.com,",MBBS,Government,YES,,24x7,984,3/4/1989,31-12-2019,20.702666,77.001984
1284,District Hospital for Women Blood Bank,Maharashtra,AKOLA,Akola,"Plot No.2, OPD Building, District Hospital for Women, Near Durga Chowk, Akola-444005
",444001,"0724 2433398, 0724 2433778 ","09422862490, 09730907515, 09422955523",,0724 2457073,dhw_akola@rediffmail.com,,Dr. Dhananjay Chimankar ,"0724 2433398, 0724 2433778 ",9422862490,"dhw_akola@rediffmail.com,",MBBS,Government,NO,NO,24x7,,,,20.714492,77.008904
1285,Dr. Vivek Pimpalkar Blood Bank,Maharashtra,AKOLA,Akola,"Najul Shit No. 408, Plot No-9/7, Krishna Kripa Building,  M.G.Road, Akola
",444101,0724 2438271 ,"09423848910, 09850650044",,,,,Dr. Bhaskar V. Bhinge,0724 2438271,"09423848910, 09850650044","vivekarvindpimparkar@gmail.com,",,Private,NO,NO,24x7,AMD/BB-01/95,1/2/1995,31-12-2017,21.106181,77.072925
1286,Shriram Blood Bank,Maharashtra,AKOLA,Akola,"T. K. Chambers, Ratanlal Plot, Akola ",444005,"0724 2433175, 0724 2432175",9823071925,,0724 2434858,,,Dr. P. S. Aher ,"0724 2433175, 0724 2432175",9823071925,"aherprakash@hotmail.com,","MD, DCP",Private,NO,NO,24x7,AMD/BB/18/2000,1/1/2012,31-12-2016,21.106181,77.072925
1287,Akola Diagnostic Centre Blood Bank and Component Lab,Maharashtra,AKOLA,Akola,"Shivshirsh, Opposite to Gajanan Hospital, Ramnagar, Akola
",444001,0724 2458777,9823048379,,,akoladiagnostic@rediffmail.com,,Dr. K. K. Agarwal ,0724 2458777,9823048379,"akoladiagnostic@rediffmail.com,","MBBS, DMR",Charity,YES,,24x7,AMD/BB/25/2013,13-03-2013,3/12/2018,20.70644,77.011207
1288,Dr. Mankar Memorial Blood Bank,Maharashtra,AKOLA,Akola,"Mankar Hospital, 2nd Floor, Dr. Mankar Smruti Building, Aastha Hospital, Opposite to Khandelwal CT-Scan Centre, Amanakha Plot,  Civil Line, Akola",444001,0724 2457530 ,"09823243771, 09422162787",,,,,Dr. Pandurang .S. Toshniwal ,0724 2457530 ,"09823243771, 09422162787"," Sach2112@gmail.com,","MBBS, DCP",Charity,NO,NO,24x7,AMD/BB/24/2003,19-09-2011,18-09-2016,20.724952,77.04278
1289,Dr. Hedgewar Blood Bank,Maharashtra,AKOLA,Akola,"Balaji Plot  SBI Colony No - 1,  Near Jathat Peth,  No.1 Akola
",444005,"0724 2491264, 0724 2491265, 0724 2491266","09422862482, 09423125215",,0724 2491264,,,Dr. Sameer Deshmukh / Dr Kshitija Marathe  ,"0724 2491264, 0724 2491265, 0724 2491266","09422862482, 09423125215","siddhsamir@rediffmail.com,",MBBS,Charity,YES,,24x7,AMD/BB/25/2003,,,21.140578,79.060506
1290,ICON Blood Bank - Ganediwal Charitable Trust,Maharashtra,AKOLA,Akola,"Ganediwal Charitable Trust, ICON Blood Bank, ICON Hospital, Kedia Plot, Akola",444 001,0724 2411263,,,,iconakola@rediffmail.com,,"Dr. Yogesh Bhatiwal, ",0724 2411263,,"iconakola@rediffmail.com,",,Charity,YES,,24x7,AMD/BB/24/2011,12/5/2011,12/4/2016,20.713446,77.011958
1291,Sai Jeewan Blood Bank,Maharashtra,AKOLA,Akola,"Shri Balyogi Shikshan Prasarak Mandal Charitable Trust, Akola",,,,,,,,,,,,,Charity,,,,,,,20.7056918,77.0080648
1292,District General Hospital Blood Bank Amravati,Maharashtra,AMRAVATI,Amravati,"Dr. Babasaheb Ambedkar Chowk, District General Hospital Blood Bank, Amaravati",444601,"0721 2663337, 0721 2663339, 0721 2663338",7385331819,,0721 2663337,cs_amravati@rediffmail.com,,Dr. Vilas Jadhav,0721 2663337,9763599173,dr.vilasjadhav@gmail.com,MD (Pathology),Government,YES,YES,24 Hours,AMD/BB/18/2000,1/1/2012,31-12-2016,20.93386,77.760815
1293,Shri Balaji Blood Bank & component lab Amravati,Maharashtra,AMRAVATI,Amravati,"1st Floor, Alsi Complex, Ambapeth, Amravati
",444601,0721 2671600 ,"09422155201, 09823045532",,,"drckdara@yahoo.com,",,Dr. C. K. Dara ,0721 2671600,"09422155201, 09823045532",drckdara@yahoo.com,MBBS (Trained in Transfusion Medicine - TATA HOSP.),Charity,YES,YES,24x7,AMD/BB/22/10,25-03-2014,25-03-2019,20.928177,77.756362
1294,Dr. P.D.M.H.C. Hospital and Research Centre Blood Bank,Maharashtra,AMRAVATI,Amravati,"Block-A,1st Floor, Shivaji Nagar, Amravati 
",440603,0721 2665545,9766325831,,0721 2661742,sandippatil@gmail.com,,"Dr. J. P. Laddha, Dr. A. A. Tayde",0721 2665545,9766325831,bloodbankdrpdmmc@gmail.com,MBBS,Charity,YES,YES,24x7,AMD/BB/14/99 ,1/1/2013,31-12-2017,20.923,77.816645
1295,Sant Gadgebaba Blood Bank and Component Centre Badnera,Maharashtra,AMRAVATI,Amravati,"Opposite to Shrihari Hospital, Juni Vasti (Old Town), Badnera  Amravati
",444701,"0721 2580490, 0721 2580455              ",9422915633,,0721 2580490,sopanblood@gmail.com,,Dr. Anil M Kavimandan,"0721 2580490, 0721 2580455              ",9422915633,"sopanblood@gmail.com,",,Charity,YES,NO,24x7,AMD/BB/29/2009,6/1/2010,15-12-2014,20.794116,77.709547
1296,Dr. Late Sadanadaji Burma Memorial Blood Bank,Maharashtra,AMRAVATI,Amravati,"Plot No- 53, Sheet No-20c, Gvalipura,  Sadar Bazar, Paratwada, Amravati
",444805,8484010184,9403621600,,,rsburma@yahoo.co.in,,Dr. Pramod M. Shete  ,8484010184,9403621600,"rsburma@yahoo.co.in,",MBBS,Charity,NO,NO,24x7,AMD/BB/23/2011,29-04-2011,28-04-2016,21.298921,77.518316
1297,Regional Blood Bank Government Medical College and Hospital,Maharashtra,AURANGABAD,Aurangabad,"Regional Blood Bank Government Medical College and Hospital, Aurangabad, (GHATI)",431001,"0240 2402108, 0240 2402418",9890281663,,,bbgmchabad@gmail.com,,Dr. Jaiswal,"0240 2402108, 0240 2402418",9890281663,bbgmchabad@gmail.com,"MBBS, MD (Pathology)",Government,YES,,24 hrs,28/AD/006,24-10-1990,1/1/2012,19.890542,75.317164
1298,Mahatma Gandhi Mishan (MGM) Hospital Blood Bank,Maharashtra,AURANGABAD,Aurangabad,"Mahatma Gandhi Mishan Medical College & Hospital Blood Bank, N-6, Town Center,  CIDCO,  Aurangabad ",431003,"0240 6601100, 0240 6601167",9371012383,,0240 2484445,drcpbhale@rediffmail.com,,Dr. C. P. Bhale ,"0240 6601100, 0240 6601167",9371012383,"drcpbhale@rediffmail.com, Mahadev.Gayke@rediffmail.com",MD (Pathology),Charity,YES,YES,24x7,AD/BB/18,13-07-2007,7/12/2017,19.877896,75.354519
1299,Dattaji Bhale Blood Bank - Hedgewar Hospital,Maharashtra,AURANGABAD,Aurangabad,"C/o. Dr. Hegdewar Rugnalaya Campus, Near Gajanan Mandir, Jawahar Colony Road, Garkheda Parisar,  Aurangabad
",431005,"0240 2335196, 0240 2331195, 0240 2352371",9822435509,,0240 2341849,mahendrasingh-chauhan@hedgewar.org,http://www.dattajibhalebloodbank.org/,Dr.Mahendrasingh H. Chauhan (M.D.Path),"0240 2335196, 0240 2331195, 0240 2352371",9822435509,"Mahendrasingh-chauhan@hedgewar.org, hedgewar@hotmail.com, contact@hedgewar.org",MD (Pathology),Charity,YES,YES,24 hrs,AD/BB/011/20/12/2001,20-12-2001,16-01-2017,19.876165,75.343313
1300,Lokmanya Blood Bank,Maharashtra,AURANGABAD,Aurangabad,"Gopinath Chember,  Basement Floor, Behind Jaydev Travels, Adalat Road,  Aurangabad ",431005,"0240 6602163, 0240 2328362 ",9370527120,,0240 2328362,adm.lokmanya@gmail.com,,Dr. Fouzia Siddiqui ,"0240 6602163, 0240 2328362 ",9370527120,adm.lokmanya@gmail.com,MD (Pathology),Charity,YES,NO,24x7,AD/BB/020,1/1/2014,31-12-2018,19.872123,75.323251
1301,Seth Nandlal Dhoot Hospital Blood Bank,Maharashtra,AURANGABAD,Aurangabad,"Plot No A-1, MIDC Chikalthana, Jalna Road, Aurangabad
",431210,0240 2489001 - 10,9225334164,,0240 2485331, bloodbank@dhoothospital.com,,Dr. Aprana Kulkarni,0240 2489001 - 10,9225334164, bloodbank@dhoothospital.com,MBBS,Charity,YES,YES,24x7,AD/BB/006,26-04-1999,31-12-2017,19.872742,75.387668
1302,Arpan Voluntary (Marathwada)  Blood Bank,Maharashtra,AURANGABAD,Aurangabad,"2nd Floor, Soniya Chambers, Near Uddhanpula, Seven Hills, Jalna Road, Aurangabad
",431001,"0240 2345359, 0240 6604204",9860078075,,,nandkishor@arpanbloodbank.org,,Dr. Prakash Patni ,"0240 2345359, 0240 6604204",9860078075,"rafiq.khan@marathwadabloodbank.info, nandkishor@arpanbloodbank.org","MBBS, MD (Pathology)",Charity,YES,NO,24x7,AD/BB/23,2/5/2012,1/5/2017,19.875504,75.352445
1303,Amruta Blood Bank,Maharashtra,AURANGABAD,Aurangabad,"Shop No- 102/103, 1st Floor ,Nano Comlex Near Shanoormiya Arga, Vegetable Arket, Shahnoorwadi, Aurangabad
",431001,0240 2060145 ,"08087527390, 09404471720, 09850410343, 08380073333",,0240 2351145,amrutabloodbank@gmail.com,,Dr. A. P. Choudhari,0240 2060145 ,"08087527390, 09404471720, 09850410343, 08380073333","amrutabloodbank@gmail.com,","MBBS, DCP",Charity,YES,NO,24x7,AD/BB/26,14-08-2012,13-08-2017,19.855842,75.338268
1304,Aurangabad Blood Bank,Maharashtra,AURANGABAD,Aurangabad,"Opposite to Sparsh Hospital, Jawahar Nagar Akashwani Aurangabad
",431001,"0240 6002002, 0240 2330400",9922650892,,,aurangabadbloodbank@gmail.com,,Dr. Wanole ,"0240 6002002, 0240 2330400",9922650892,"aurangabadbloodbank@gmail.com,",DCP,Charity,YES,NO,24x7,AD/BB/29,15-06-2013,14-06-2018,19.873384,75.344972
1305,Lions Blood Bank,Maharashtra,AURANGABAD,Aurangabad,"1st Floor, above Lions  Balsadan, Near Teg Bahadur English School, Osmanpura, Aurangabad ",431005,"0240 2340250, 2337255",8275092594,,,lionsbloodbank0708@gmail.com,,Dr. Sheetal Patil ,0240 2340250,9423719553,"lionsbloodbank0708@gmail.com,","MBBS, DPB",Charity,YES,YES,24x7,AD/BB/31,10/8/2013,10/7/2018,19.87244,75.323188
1306,Civil Surgeon General Hospital Blood Bank,Maharashtra,BEED,Beed,"Civil Surgeon District General Hospital, Barshi Road, Beed  ",431122,02442 220609,9822541028,,02442 222618 ,bloodbankbeed@rediffmail.com,,Dr. M. R. Jadhav ,02442 220609,9822541028,"cs_beed@rediffmail.com, bloodbankbeed@rediffmail.com",MD (Pathology),Government,YES,,24x7,28/AD/009,30-06-1992,31-12-2011 (Objections raised by FDA),18.986918,75.75332
1307,Swami Ramanand Tirth Arben Medical College Hospital Blood Bank,Maharashtra,BEED,Beed,"Swami Ramanand Tirth Arben Medical College Hospital Ambajogai Tq. Ambajogai,  Beed",431517,02446 244472 ,9422467018,,02446 247132 (Dean office),srtrgmcbb@gmail.com,,Dr. Rahul Dake,02446 244472 ,9422467018,srtrgmcbb@gmail.com,MBBS,Government,YES,NO,24x7,20 ? 1028    [Component License No:AD/BB/33]     ,7/11/2013,6/11/2018,18.731377,76.370902
1308,Vaidynath Blood Bank,Maharashtra,BEED,Beed,"Mundhe Children Hospital, Near Dube Petrol Pump, Jai Nagar, Parli-Vaijnath, Beed",431515,02446 223584,9422242419,9673771797,,,,Dr. Suryakant Mundhe,02446 223584,9422242419,Drsuryakantmundhe@gmail.com,MBBS,Charity,NO,NO,24x7,AD/BB/015,3/8/2011,3/7/2020,18.842659,76.535058
1309,Navjivan Blood Bank,Maharashtra,BEED,Beed,"Plot No 2-10-240 1 st Floor, Jalna Road, Opposite to M.S.E.B. Office, Beed ",431122,"02442 233423, 02442 232434, 02442 223975",9890297246,,,,,,,,,,Charity,,,,,,,19.000048,75.755254
1310,Arpan Blood Bank Beed,Maharashtra,BEED,Beed,"3rd Floor, Thorat Multispeciality Hospital, D.P. Road, Anand Nagar, Ambejogai, Dist - Beed,
",431517,02446 245002           ,9421352152,,,nandkishor@arpanbloodbank.org,,Dr. Ashwini Gore ,02446 245002                    ,9421352152,nandkishor@arpanbloodbank.org ,"MBBS, DPB",Charity,YES,,24x7,AD/BB/35,12/7/2013,12/7/2013,18.725503,76.390737
1311,Civil Hospital Bhandara Blood Bank,Maharashtra,BHANDARA,Bhandara,"General Hospital Blood Bank, Bhandara
",441904,"07184 252247(Hospital), 07184 250725(Blood Bank)",9422809711,,07184 255151,bloodbank_bhandara@rediffmail.com,,Dr. M. L. Kate ,"07184 252247(Hospital), 07184 250725(Blood Bank)",9422809711,"bloodbank_bhandara@rediffmail.com,",MBBS,Government,NO,NO,24x7,Licence in correct format not recived from FDA,1/1/2013,31-12-2017,21.162022,79.65973
1312,Jeevandhara Buldana Urban Blood Bank,Maharashtra,BULDHANA,Buldana,"1st Floor, DSD City Mall, Above Bank of India, Tehsil to Stadium Road, Buldhana 
",443001,9657221122,9922527555,,,maheshbhakkad@gmail.com,,Dr. S. R. Patil,9657221122,9922527555,"maheshbhakkad@gmail.com,",MD (Pathology),Charity,YES,NO,24x7,Amd/BB/26/2013,4/2/2013,4/1/2018,20.532707,76.180604
1313,Government Hospital Blood Bank,Maharashtra,BULDHANA,Buldhana,"General Hospital Shegaon Road, Khamgaon, Buldhana",444303,"07263 255332, 07263 254571","09822782898, 09011580154 ",,07263 255332,"ghkbb134@gmail.com, ms_ghkhamgaon@rediffmail.com",,Dr. Anil R. Saorde ,"07263 255332, 07263 254571",9822782898,ms_ghkhamgaon@rediffmail.com,MBBS,Government,NO,NO,24x7,AMD/BB/32/1998,11/7/1990,Applied for renewal,20.708409,76.566704
1314,Saibai Mote General Hospital Blood Bank,Maharashtra,BULDHANA,Buldhana,"Saibai Mote General Hospital, Shegaon, Buldhana",444203,07265 252020,9764550722,,07265 252866,,,Dr. P. B. Pandit,07265 252020,9764550722,,MS,Government,NO,NO,24x7,AMD/BB/13/98,22-04-1998,31-12-2016,20.795868,76.696688
1315,Civil Surgeon District General Hospital Blood Bank,Maharashtra,BULDHANA,Buldhana,"General Hospital Blood Bank Buldhana, Near Prabadhan School, Bhonde Sarakar Chauk Bhuldhana(M.S)",443001,07262 242423 (Extn.234),"09423452824, 09422184152 (Tech)",,07262 242423,cs_buldhana@rediffmail.com,,"Dr. A. K. Pardhe, Sapkale",07262 242423 (Extn.234),9423452824,"cs_buldhana@rediffmail.com, bb225@mahasbtc.com",MBBS,Government,YES,,24x7,ND-11,1/1/2007,31-12-2016,20.533583,76.187482
1316,Dr. Murlidhar Kharche Memorial Jeevan Jyoti Blood Bank,Maharashtra,BULDHANA,Buldhana,"Bharat Kala Road, Malkapur, Buldhana ",443101,07267 26700,9423144276,,07267 224943,jkpatho@gmail.com,,Smt. Dr. Jaishri Kharche,07267 26700,9423144276,"jkpatho@gmail.com,",MBBS,Private,NO,NO,24x7,AMD/DB/17/93,1/12/2000,1/12/2016,20.886486,76.207174
1317,Lilavati Blood Bank,Maharashtra,BULDHANA,Buldhana,"John Lay Out, Jamrnn Road, Near Bus stand, Buldhana",443001,07262 243811,9422180490,,,,,Dr. Ajit Dalsing S.,07262 243811,9422180490,dr.ajitshirsat@rediffmail.com,"MBBS, MD (Pathology)",Private,NO,NO,24x7,AMD/BB/21/2001,12-Dec,17-Dec,20.534727,76.172461
1318,Shri. Brahman Swrankar Samaj Trust Blood Bank,Maharashtra,BULDHANA,Khamgaon,"Farshi, Main Road, Khamgaon, Buldhana",444303,07263 255577,9422883786,,07263 259334,,,Dr. Gopal Soni ,07263 255577,9422883786,"sonigopal2000@gmail.com,","MD (Pathology), DNB ",Charity,YES,,24x7,AMD/BB/26/2004,-,-,20.543402,76.170956
1319,General Hospital Blood Bank,Maharashtra,CHANDRAPUR,Chandrapur,"Government General Hospital Blood Bank, Near Chota Bazar, Main Road, Mahatma Gandhi Marg, Chandrapur",442402,"07172 252103, 07172 253992",7620048023,,,bbchandrapur@gmail.com,,Dr. Anant Hazare ,07172 270193,7620048023,bbchandrapur@gmail.com,MBBS,Government,YES,NO,24x7,ND/4,19-07-1990,Proposal submitted for 2012 to 2017 on dated 28/11/2011 ,19.953683,79.296742
1320,Ankur Hospital Blood Bank,Maharashtra,CHANDRAPUR,Chandrapur,"Balaji Ward, Chandrapur",442402,"07172 251522, 07172 255522, 07172 264522",9422135495,,,ankurhospital@rediffmail.com,,"Dr. Vilas Mulay, Dr. Mrs. Nilima Mulay","07172 251522, 07172 255522, 07172 264522","09422135495, 09422176697 ",ankurhospital@rediffmail.com,MD (Pathalogy),Charity,YES,NO,24x7,ND/BB/22,9/1/2007,31-08-2017,19.970044,79.30788
1321,Dr. Ninawe Blood Bank,Maharashtra,CHANDRAPUR,Chandrapur,"Niwane Hospital, Near Benglur Bakery, Kasturba Road, Chandrapur",442402,"07172 254884, 07172 254994      ","09422138720, 09421718892","07083403399, 07083503399",,,,Dr. Rima.W Ninawe,07172 254884,"08177983399, 09689356804",,"MBBS, MD",Charity,YES,,24x7,Applied for Renewal,,,19.957547,79.295961
1322,Christanand Education Society Blood Bank,Maharashtra,CHANDRAPUR,Chandrapur,"Christanand Education Society Blood Bank,  Christanand Hospital, Gujri Ward No.2, Brahmapuri",441206,"07177 272016, 07177 271109",9881804284,,,christanandhosp@gmail.com,,Dr. Nitin Chauhan ,"07177 271109, 07177 272016, 07177 273068",9881804284,"christanandhosp@gmail.com, nitin.chauhan1970@gmail.com",MBBS,Charity,NO,NO,24x7,ND/32 ,14-06-1993 ,31-12-2017,20.607715,79.855757
1323,Shahada Blood Bank (Whole Human Blood),Maharashtra,DHULE,,Shahada,,02565 223446,"09371855918, 08421756756",,,,,,,,,,Charity,NO,NO,24x7,,,,21.554796,74.472875
1324,Shri Bhausaheb Hire Government Medical College and Hospital Blood Bank,Maharashtra,DHULE,Dhule,"Civil Hospital Compound, Sakri Road Dhule",424001,02562 288833,9422780176,,,bloodbankdhule@gmail.com,,Dr. Deepak Shejwal,02562 288833,"09890607987, 09422786370",bloodbankdhule@gmail.com,MD (Pathology),Government,NO,NO,24x7,1020,28/7/1989,31-12-2017,20.863814,74.761869
1325,Navjeevan Medical Relief & Research Society&#39;s Shree Navjeevan Blood Bank and Component Laboratary,Maharashtra,DHULE,Dhule,"Plot No. 39, S. No. 579/3+5, Sushil Nagar Behind Vaibhav Nagar, Dhule.(424001)(M.S.)",424001,"02562 245662, 02562 246289, 02562 244662","09881171637, 09422714375, 09422387555",02562 244662,02562 245662,navjeevan.dhule@gmail.com,http://www.shreenavjeevanbloodbankdhule.com,Dr. Sunil Bhanudas Chaudhari,"02562 245662, 02562 246289, 02562 244662","09422714375, 09422387555",navjeevan.dhule@gmail.com,MBBS,Charity,YES,YES,24x7,NKD/2,4/2/1994,29-12-2017,20.894428,74.759698
1326,Jawahar Medical Foundation Blood Bank,Maharashtra,DHULE,Dhule,"Hutatma Shririshkumar Nagar, Opposite to Jawahar Suthgirani, Morane, Sakri Road, Dhule",424001,"02562 276317, 02562 277298",9922553307,,,acpm@rediffmail.com,,Dr. Ravindra Kotware,02562 276317,9922553307,acpm@rediffmail.com,MD (Pathology),Charity,,,,,,,20.90361,74.741293
1327,Jeevan Jyoti Blood Bank,Maharashtra,DHULE,Dhule,"3252 Agra Road, Near Prabhakar Theater",424001,02562 232807,9422562094,,,bb_jyoti@yahoo.com,,Dr. Anand Rodrigues   ,"02562 232807, 02562 236807",9422562094,bb_jyoti@yahoo.com,MD (Pathalogy),Charity,YES,,24x7,NKD/10 ,,31-12-2016,20.897883,74.775354
1328,Nirnay Janseva Blood Bank,Maharashtra,DHULE,Dhule,"Fulwala Chowk, (C.S.No.1415/A/1/A) Lane No. 4  Dr. Odhekar Building, Agra Road",424001,02562 238262,9730733888,,,nirnayjansevabloodbank@gmail.com,,Dr. P. N. KOCHER ,"02562 238555, 02562 325768",9730733888,nirnayjansevabloodbank@gmail.com,MBBS,Charity,YES,NO,24x7,NKD/55 ,16-01-2014 ,15-01-2019,20.904116,74.77767
